party,district,date,blankVotes,blankVotesPercentage,nullVotes,nullVotesPercentage,percentage,percentageVoters,validVotesPercentage,votes
NC,Beja,2019-10-06,1371,140.85999999999999,1094,129.98999999999998,10.919999999999998,3994.1099999999997,11.360000000000001,118
NC,Braga,2015-10-04,10708,754.4299999999996,6112,458.45000000000005,66.64999999999996,20443.15,69.16999999999996,972
NC,Braga,2019-10-06,14504,1053.83,8029,645.0499999999994,75.27999999999999,20522.750000000004,79.04,1017
NC,Bragança,2015-10-04,1189,371.77000000000004,1408,473.17000000000013,48.44000000000001,10585.050000000003,50.37,160
NC,Bragança,2019-10-06,1305,439.96999999999997,1417,534.4799999999998,47.46999999999999,10084.110000000006,49.64,137
NC,Castelo Branco,2015-10-04,2091,227.7899999999999,2167,283.78,31.909999999999982,6792.179999999996,33.370000000000005,267
NC,Coimbra,2015-10-04,5929,392.8599999999999,3536,293.08000000000004,52.08999999999998,8770.320000000003,54.44000000000001,683
NC,Coimbra,2019-10-06,6889,531.2600000000002,3814,347.0999999999998,26.359999999999996,8356.2,27.91999999999999,441
NC,Faro,2015-10-04,4286,153.04000000000002,3079,124.43,43.7,3619.5499999999997,45.610000000000014,1337
NC,Faro,2019-10-06,4900,200.8,3069,136.77,26.179999999999996,3274.2000000000003,27.499999999999996,733
NC,Guarda,2015-10-04,1689,505.5499999999998,1987,596.7099999999994,52.99000000000001,12321.069999999996,55.52000000000002,180
NC,Guarda,2019-10-06,2026,625.8999999999994,2057,675.4999999999997,44.46000000000001,11918.08,46.809999999999995,118
NC,Leiria,2015-10-04,6902,311.5900000000001,4699,228.64999999999998,34.989999999999995,6298.630000000001,36.819999999999986,840
NC,Leiria,2019-10-06,8202,390.6500000000001,5152,266.55,28.01999999999999,6036.829999999998,29.66999999999999,583
NC,Lisboa,2015-10-04,22176,285.3299999999999,17112,212.62000000000015,42.57000000000001,8132.059999999998,44.29999999999998,3737
NC,Lisboa,2019-10-06,23702,327.96,16081,226.88000000000002,29.46999999999999,7702.05,30.740000000000013,2713
NC,Madeira,2015-10-04,1018,47.94000000000001,3597,156.12,36.300000000000004,2623.62,37.69,1125
NC,Madeira,2019-10-06,697,31.670000000000012,2292,96.04,6.58,2742.3799999999997,6.74,188
NC,Portalegre,2015-10-04,1130,118.61000000000004,896,104.43,15.03,4266.54,15.52,144
NC,Porto,2015-10-04,18902,422.32000000000005,14073,372.60999999999996,72.10999999999999,14410.610000000006,74.41000000000001,2773
NC,Porto,2019-10-06,21233,537.0000000000003,15185,439.6499999999998,34.750000000000014,14050.8,36.23999999999999,1656
NC,Santarém,2015-10-04,5142,303.81,3967,263.78000000000003,60.33000000000001,8382.39,62.94000000000003,932
NC,Santarém,2019-10-06,6022,401.4200000000002,4011,286.91999999999996,55.07999999999999,7980.309999999998,58.11000000000002,814
NC,Setúbal,2015-10-04,7261,91.48999999999998,6183,76.11000000000003,19.189999999999994,3261.0899999999992,19.849999999999994,1572
NC,Setúbal,2019-10-06,8191,114.34999999999998,6038,82.91999999999999,13.17,3000.2299999999996,13.620000000000001,1025
NC,Viana do Castelo,2015-10-04,3228,491.7,2141,350.8700000000002,184.31000000000006,10140.639999999996,192.15999999999997,1037
NC,Viana do Castelo,2019-10-06,3617,588.8,2199,371.44999999999965,37.72000000000001,10214.650000000003,39.47999999999998,259
NC,Vila Real,2015-10-04,1919,319.36999999999995,1960,365.71000000000004,56.64000000000001,9000.089999999998,58.65000000000002,281
NC,Vila Real,2019-10-06,2258,427.44000000000005,2397,525.3799999999999,31.74,8533.269999999999,33.29,171
NC,Viseu,2015-10-04,4235,559.3800000000003,3632,545.4499999999999,69.17999999999998,14021.59,71.98,534
NC,Viseu,2019-10-06,4995,693.7199999999997,3700,611.5299999999996,39.230000000000004,14117.129999999996,41.38000000000001,332
NC,Évora,2015-10-04,1421,93.58000000000001,1079,88.09999999999998,14.899999999999999,4257.69,15.290000000000003,216
NC,Évora,2019-10-06,1680,139.88000000000002,1047,100.47000000000003,33.35,3860.2999999999997,34.470000000000006,311
PAN,Aveiro,2015-10-04,9163,353.6900000000002,6130,252.76000000000005,119.68,8243.029999999997,124.88999999999997,3573
PAN,Aveiro,2019-10-06,10642,447.3999999999999,6375,272.96,369.47000000000014,8015.390000000001,388.59000000000026,10424
PAN,Açores,2015-10-04,3047,556.74,1583,284.56999999999994,123.24,7021.759999999997,130.02000000000007,815
PAN,Açores,2019-10-06,3926,831.7299999999993,1363,248.05,345.38999999999976,6204.549999999999,371.7799999999999,2215
PAN,Beja,2015-10-04,1230,110.82000000000002,1132,120.95000000000002,49.650000000000006,4397.6399999999985,51.260000000000005,608
PAN,Beja,2019-10-06,1371,140.85999999999999,1094,129.98999999999998,117.45,3994.1099999999997,121.93000000000006,1269
PAN,Braga,2015-10-04,10708,754.4299999999995,6112,458.4500000000001,227.6399999999999,20443.15,236.1699999999998,3682
PAN,Braga,2019-10-06,14504,1053.8300000000002,8029,645.0499999999994,741.3900000000002,20522.750000000004,780.37,11934
PAN,Bragança,2015-10-04,1189,371.77000000000004,1408,473.1700000000002,102.20999999999998,10585.050000000003,106.20000000000006,386
PAN,Bragança,2019-10-06,1305,439.96999999999997,1417,534.4799999999999,204.85,10084.110000000006,214.27000000000015,831
PAN,Castelo Branco,2015-10-04,2091,227.7899999999999,2167,283.78,78.73,6792.179999999996,81.96000000000002,860
PAN,Castelo Branco,2019-10-06,2250,279.49000000000007,2232,324.70999999999987,228.28000000000006,6581.849999999999,240.75999999999988,2231
PAN,Coimbra,2015-10-04,5929,392.85999999999984,3536,293.08000000000004,121.29000000000005,8770.320000000003,127.02000000000002,2165
PAN,Coimbra,2019-10-06,6889,531.2600000000002,3814,347.09999999999985,325.36,8356.199999999999,344.9600000000001,5355
PAN,Faro,2015-10-04,4286,153.04000000000002,3079,124.43,110.13999999999997,3619.5499999999997,114.87000000000005,3783
PAN,Faro,2019-10-06,4900,200.8,3069,136.77,263.80000000000007,3274.2000000000003,277.43000000000006,8238
PAN,Guarda,2015-10-04,1689,505.5499999999997,1987,596.7099999999994,180.36000000000004,12321.069999999998,188.68000000000004,725
PAN,Guarda,2019-10-06,2026,625.8999999999994,2057,675.4999999999997,297.6699999999999,11918.08,315.7000000000001,1223
PAN,Leiria,2015-10-04,6902,311.5900000000001,4699,228.64999999999998,110.07,6298.63,115.89,2908
PAN,Leiria,2019-10-06,8202,390.6500000000001,5152,266.55000000000007,265.3999999999999,6036.829999999998,282.48999999999995,6413
PAN,Lisboa,2015-10-04,22176,285.3299999999999,17112,212.62000000000018,222.48000000000008,8132.059999999999,230.90000000000012,22628
PAN,Lisboa,2019-10-06,23702,327.96,16081,226.88000000000002,517.25,7702.05,539.3699999999999,48536
